pos;shape;value;landmark
pos1;1;-0.013095651515151685;1
pos2;1;-0.06487498484848486;1
pos1;1;0.0420063484848483;2
pos2;1;-0.054637984848484866;2
pos1;1;0.053857348484848355;3
pos2;1;0.004085015151515103;3
pos1;1;0.02443834848484827;4
pos2;1;0.06282901515151512;4
pos1;1;-0.020220651515151677;5
pos2;1;0.06398601515151514;5
pos1;1;-0.07129665151515169;6
pos2;1;0.0208720151515151;6
pos1;1;-0.03753765151515165;7
pos2;1;-0.0626159848484849;7
pos1;1;0.023203348484848285;8
pos2;1;-0.10361998484848489;8
pos1;1;0.08761534848484831;9
pos2;1;-0.04463498484848488;9
pos1;1;0.08512534848484832;10
pos2;1;0.04111701515151511;10
pos1;1;0.010637348484848319;11
pos2;1;0.09778201515151513;11
pos1;1;-0.05522165151515168;12
pos2;1;0.0857930151515151;12
pos1;1;-0.10466165151515167;13
pos2;1;-0.004267984848484896;13
pos1;1;-0.02142265151515166;14
pos2;1;-0.1019289848484849;14
pos1;2;-0.011750378787878879;1
pos2;2;-0.07722956060606068;1
pos1;2;0.053058621212121126;2
pos2;2;-0.0660355606060607;2
pos1;2;0.07203962121212115;3
pos2;2;0.0012404393939393077;3
pos1;2;0.02847362121212116;4
pos2;2;0.06256443939393935;4
pos1;2;-0.03992937878787883;5
pos2;2;0.07499943939393933;5
pos1;2;-0.08192137878787886;6
pos2;2;0.023367439393939315;6
pos1;2;-0.03620237878787885;7
pos2;2;-0.062305560606060684;7
pos1;2;0.035266621212121096;8
pos2;2;-0.1128315606060607;8
pos1;2;0.09952762121212111;9
pos2;2;-0.04676056060606065;9
pos1;2;0.0932606212121212;10
pos2;2;0.04707643939393935;10
pos1;2;0.0128076212121212;11
pos2;2;0.10729743939393932;11
pos1;2;-0.08116337878787883;12
pos2;2;0.09754643939393931;12
pos1;2;-0.12495537878787888;13
pos2;2;-0.004047560606060652;13
pos1;2;-0.016495378787878878;14
pos2;2;-0.11456156060606065;14
pos1;3;-0.004258348484848629;1
pos2;3;-0.07144490909090923;1
pos1;3;0.04475065151515145;2
pos2;3;-0.047205909090909215;2
pos1;3;0.06710465151515144;3
pos2;3;-0.002789909090909204;3
pos1;3;0.03097465151515144;4
pos2;3;0.04844709090909077;4
pos1;3;-0.02110034848484854;5
pos2;3;0.07136909090909077;5
pos1;3;-0.07249534848484857;6
pos2;3;0.03458209090909076;6
pos1;3;-0.046398348484848584;7
pos2;3;-0.05298590909090922;7
pos1;3;0.0246606515151514;8
pos2;3;-0.09909790909090921;8
pos1;3;0.0842146515151514;9
pos2;3;-0.040370909090909235;9
pos1;3;0.07697065151515137;10
pos2;3;0.036385090909090756;10
pos1;3;0.00951965151515144;11
pos2;3;0.08682109090909079;11
pos1;3;-0.05710634848484858;12
pos2;3;0.08371109090909074;12
pos1;3;-0.11233934848484861;13
pos2;3;-0.005541909090909236;13
pos1;3;-0.026443348484848583;14
pos2;3;-0.10519890909090923;14
pos1;4;-0.005736181818182029;1
pos2;4;-0.08599775757575767;1
pos1;4;0.05281281818181799;2
pos2;4;-0.04878775757575765;2
pos1;4;0.0696858181818179;3
pos2;4;0.008295242424242344;3
pos1;4;0.03190081818181795;4
pos2;4;0.07129024242424231;4
pos1;4;-0.03998618181818203;5
pos2;4;0.07632624242424235;5
pos1;4;-0.08720218181818207;6
pos2;4;0.02372324242424234;6
pos1;4;-0.024357181818182028;7
pos2;4;-0.07747075757575766;7
pos1;4;0.024932818181817973;8
pos2;4;-0.10344775757575769;8
pos1;4;0.08881381818181794;9
pos2;4;-0.039687757575757654;9
pos1;4;0.08400181818181801;10
pos2;4;0.047343242424242316;10
pos1;4;0.014293818181817963;11
pos2;4;0.0985862424242423;11
pos1;4;-0.08666518181818206;12
pos2;4;0.07164124242424236;12
pos1;4;-0.11138718181818202;13
pos2;4;-0.0032467575757576528;13
pos1;4;-0.01854418181818207;14
pos2;4;-0.10707075757575768;14
pos1;5;-0.008125106060606235;1
pos2;5;-0.06634249999999992;1
pos1;5;0.05784589393939377;2
pos2;5;-0.05185649999999992;2
pos1;5;0.05975089393939381;3
pos2;5;0.009401500000000063;3
pos1;5;0.026332893939393753;4
pos2;5;0.05508150000000006;4
pos1;5;-0.038236106060606234;5
pos2;5;0.06799450000000012;5
pos1;5;-0.07853910606060621;6
pos2;5;0.021698500000000065;6
pos1;5;-0.03238810606060616;7
pos2;5;-0.05332449999999994;7
pos1;5;0.030743893939393807;8
pos2;5;-0.1113714999999999;8
pos1;5;0.09728289393939382;9
pos2;5;-0.04676249999999993;9
pos1;5;0.09328189393939379;10
pos2;5;0.05001250000000007;10
pos1;5;0.009817893939393807;11
pos2;5;0.10115950000000012;11
pos1;5;-0.08958010606060623;12
pos2;5;0.07705950000000011;12
pos1;5;-0.1128291060606062;13
pos2;5;-0.003988499999999895;13
pos1;5;-0.021532106060606182;14
pos2;5;-0.11343749999999991;14
pos1;6;-0.003805378787878677;1
pos2;6;-0.08076822727272714;1
pos1;6;0.05401762121212139;2
pos2;6;-0.05370422727272711;2
pos1;6;0.07729962121212142;3
pos2;6;0.0071467727272728765;3
pos1;6;0.030831621212121352;4
pos2;6;0.06162777272727288;4
pos1;6;-0.04600437878787861;5
pos2;6;0.07036077272727287;5
pos1;6;-0.0782503787878786;6
pos2;6;0.01917577272727289;6
pos1;6;-0.060843378787878655;7
pos2;6;-0.06293822727272713;7
pos1;6;0.035951621212121365;8
pos2;6;-0.09868222727272713;8
pos1;6;0.09525762121212134;9
pos2;6;-0.03905822727272712;9
pos1;6;0.09505962121212141;10
pos2;6;0.048387772727272904;10
pos1;6;0.015434621212121358;11
pos2;6;0.09565977272727288;11
pos1;6;-0.08669037878787861;12
pos2;6;0.06485777272727289;12
pos1;6;-0.10453737878787861;13
pos2;6;-0.003162227272727136;13
pos1;6;-0.020101378787878654;14
pos2;6;-0.10074522727272711;14
pos1;7;-0.009234742424242381;1
pos2;7;-0.07632960606060613;1
pos1;7;0.05221925757575763;2
pos2;7;-0.05685360606060613;2
pos1;7;0.06846825757575759;3
pos2;7;0.011410393939393804;3
pos1;7;0.027089257575757586;4
pos2;7;0.0552733939393939;4
pos1;7;-0.026969742424242382;5
pos2;7;0.07069639393939386;5
pos1;7;-0.07963174242424242;6
pos2;7;0.02034639393939386;6
pos1;7;-0.048414742424242374;7
pos2;7;-0.052091606060606144;7
pos1;7;0.0250222575757576;8
pos2;7;-0.09798060606060616;8
pos1;7;0.09205825757575758;9
pos2;7;-0.04257860606060615;9
pos1;7;0.08296925757575757;10
pos2;7;0.0419493939393939;10
pos1;7;0.010612257575757622;11
pos2;7;0.09642139393939386;11
pos1;7;-0.07123074242424238;12
pos2;7;0.0655973939393939;12
pos1;7;-0.10757474242424242;13
pos2;7;-0.011722606060606156;13
pos1;7;-0.027340742424242392;14
pos2;7;-0.09950160606060615;14
pos1;8;-0.004482530303030363;1
pos2;8;-0.07228087878787876;1
pos1;8;0.05414646969696968;2
pos2;8;-0.04606487878787874;2
pos1;8;0.0639424696969697;3
pos2;8;0.012535121212121247;3
pos1;8;0.024238469696969633;4
pos2;8;0.06188312121212125;4
pos1;8;-0.036606530303030294;5
pos2;8;0.07024712121212129;5
pos1;8;-0.07270153030303034;6
pos2;8;0.019218121212121242;6
pos1;8;-0.03505953030303033;7
pos2;8;-0.06868287878787876;7
pos1;8;0.028048469696969724;8
pos2;8;-0.10973087878787874;8
pos1;8;0.09606446969696969;9
pos2;8;-0.03975587878787873;9
pos1;8;0.08481946969696963;10
pos2;8;0.05070412121212131;10
pos1;8;0.0060064696969697184;11
pos2;8;0.10135612121212123;11
pos1;8;-0.08575153030303029;12
pos2;8;0.07153612121212127;12
pos1;8;-0.10692053030303034;13
pos2;8;-0.005114878787878752;13
pos1;8;-0.019679530303030268;14
pos2;8;-0.11404987878787876;14
pos1;9;-0.008926106060606065;1
pos2;9;-0.0713540909090909;1
pos1;9;0.03870489393939397;2
pos2;9;-0.051532090909090944;2
pos1;9;0.04958689393939392;3
pos2;9;0.009392909090909063;3
pos1;9;0.031328893939393976;4
pos2;9;0.05051990909090909;4
pos1;9;-0.016897106060606015;5
pos2;9;0.06747690909090909;5
pos1;9;-0.060440106060606014;6
pos2;9;0.0283589090909091;6
pos1;9;-0.039695106060606056;7
pos2;9;-0.05947309090909092;7
pos1;9;0.01873289393939398;8
pos2;9;-0.09397609090909093;8
pos1;9;0.0758868939393939;9
pos2;9;-0.041068090909090915;9
pos1;9;0.08160889393939391;10
pos2;9;0.0358529090909091;10
pos1;9;0.017911893939393964;11
pos2;9;0.09389490909090908;11
pos1;9;-0.06440110606060606;12
pos2;9;0.0648789090909091;12
pos1;9;-0.09668410606060601;13
pos2;9;-0.007432090909090916;13
pos1;9;-0.029232106060606056;14
pos2;9;-0.09488209090909094;14
pos1;10;-0.0097430151515151;1
pos2;10;-0.06883509090909082;1
pos1;10;0.046411984848484855;2
pos2;10;-0.05283409090909083;2
pos1;10;0.06476198484848483;3
pos2;10;0.006676909090909178;3
pos1;10;0.025047984848484917;4
pos2;10;0.06043690909090915;4
pos1;10;-0.035235015151515114;5
pos2;10;0.06993390909090919;5
pos1;10;-0.08340001515151513;6
pos2;10;0.01627990909090915;6
pos1;10;-0.0328310151515151;7
pos2;10;-0.06295809090909082;7
pos1;10;0.024182984848484912;8
pos2;10;-0.10213909090909082;8
pos1;10;0.09614398484848485;9
pos2;10;-0.04121609090909084;9
pos1;10;0.09126998484848492;10
pos2;10;0.04734290909090916;10
pos1;10;0.012323984848484903;11
pos2;10;0.10021790909090916;11
pos1;10;-0.07157801515151513;12
pos2;10;0.07137390909090918;12
pos1;10;-0.10683201515151514;13
pos2;10;0.0015819090909091615;13
pos1;10;-0.02256601515151513;14
pos2;10;-0.10272509090909082;14
pos1;11;-0.007452606060606104;1
pos2;11;-0.07280743939393947;1
pos1;11;0.041448393939393924;2
pos2;11;-0.04461743939393947;2
pos1;11;0.06048739393939395;3
pos2;11;0.0074025606060605376;3
pos1;11;0.02642239393939394;4
pos2;11;0.05843356060606053;4
pos1;11;-0.014765606060606118;5
pos2;11;0.07040656060606054;5
pos1;11;-0.06452960606060609;6
pos2;11;0.022874560606060523;6
pos1;11;-0.0459976060606061;7
pos2;11;-0.0696774393939395;7
pos1;11;0.019751393939393846;8
pos2;11;-0.09347043939393951;8
pos1;11;0.0811603939393939;9
pos2;11;-0.03502443939393951;9
pos1;11;0.0777823939393939;10
pos2;11;0.036722560606060495;10
pos1;11;0.009933393939393853;11
pos2;11;0.08960556060606051;11
pos1;11;-0.061396606060606096;12
pos2;11;0.0776365606060605;12
pos1;11;-0.10748260606060611;13
pos2;11;-0.004603439393939479;13
pos1;11;-0.022894606060606115;14
pos2;11;-0.0916014393939395;14
pos1;12;-0.0007787878787878233;1
pos2;12;-0.07605219696969712;1
pos1;12;0.05093021212121218;2
pos2;12;-0.053645196969697106;2
pos1;12;0.06881921212121211;3
pos2;12;0.006689803030302921;3
pos1;12;0.028684212121212194;4
pos2;12;0.06488780303030289;4
pos1;12;-0.04076678787878785;5
pos2;12;0.08170880303030292;5
pos1;12;-0.08136478787878787;6
pos2;12;0.021586803030302915;6
pos1;12;-0.03869578787878786;7
pos2;12;-0.06644319696969708;7
pos1;12;0.028371212121212186;8
pos2;12;-0.1046471969696971;8
pos1;12;0.0868102121212122;9
pos2;12;-0.0406221969696971;9
pos1;12;0.08424721212121211;10
pos2;12;0.04458880303030288;10
pos1;12;0.009606212121212154;11
pos2;12;0.10413080303030287;11
pos1;12;-0.07664078787878786;12
pos2;12;0.07608880303030291;12
pos1;12;-0.10436878787878784;13
pos2;12;-0.005442196969697111;13
pos1;12;-0.019702787878787875;14
pos2;12;-0.1045991969696971;14
pos1;13;-0.010931515151515359;1
pos2;13;-0.08546128787878782;1
pos1;13;0.05321848484848457;2
pos2;13;-0.05586028787878783;2
pos1;13;0.07261148484848468;3
pos2;13;0.006740712121212189;3
pos1;13;0.03618348484848466;4
pos2;13;0.06726071212121215;4
pos1;13;-0.03551651515151538;5
pos2;13;0.07599871212121218;5
pos1;13;-0.07874651515151537;6
pos2;13;0.018728712121212188;6
pos1;13;-0.036694515151515394;7
pos2;13;-0.07630628787878785;7
pos1;13;0.025357484848484657;8
pos2;13;-0.10399628787878784;8
pos1;13;0.09269948484848467;9
pos2;13;-0.04040128787878783;9
pos1;13;0.09016748484848458;10
pos2;13;0.052119712121212136;10
pos1;13;0.008951484848484625;11
pos2;13;0.10507071212121216;11
pos1;13;-0.0806875151515154;12
pos2;13;0.08088571212121215;12
pos1;13;-0.1180725151515154;13
pos2;13;-0.0037672878787878283;13
pos1;13;-0.02475651515151539;14
pos2;13;-0.10503528787878785;14
pos1;14;-0.0008365757575758415;1
pos2;14;-0.0701290303030302;1
pos1;14;0.05132142424242414;2
pos2;14;-0.046419030303030184;2
pos1;14;0.06516242424242413;3
pos2;14;0.0049109696969698025;3
pos1;14;0.03199142424242418;4
pos2;14;0.05896596969696982;4
pos1;14;-0.02996657575757583;5
pos2;14;0.07113996969696978;5
pos1;14;-0.07645757575757584;6
pos2;14;0.022569969696969783;6
pos1;14;-0.041507575757575854;7
pos2;14;-0.06019803030303017;7
pos1;14;0.02161942424242419;8
pos2;14;-0.09864503030303018;8
pos1;14;0.0872604242424242;9
pos2;14;-0.043092030303030215;9
pos1;14;0.0860174242424242;10
pos2;14;0.04313296969696978;10
pos1;14;0.011315424242424155;11
pos2;14;0.08986696969696978;11
pos1;14;-0.07339357575757582;12
pos2;14;0.07174596969696978;12
pos1;14;-0.11289757575757581;13
pos2;14;-0.004253030303030203;13
pos1;14;-0.027212575757575852;14
pos2;14;-0.1029680303030302;14
