iterate;time0;time1;type
5;0.3117449009293668;0.7059709539585448;pos1
5;0.19545787061700745;-0.6692853732384355;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.11126046697815717;0.2977340515089799;pos1
5;0.2437319780454559;-0.9114426700264268;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.4504844339512095;0.010049107732351015;pos1
5;0.10847093477938956;-1.0864677168669827;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.4504844339512096;0.1312426973712409;pos1
5;-0.1084709347793895;-1.3088338069391456;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.1112604669781573;0.5418645703470011;pos1
5;-0.2437319780454559;-1.2860042981448867;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;0.3117449009293667;0.8549401815764331;pos1
5;-0.19545787061700748;-0.9905122726780828;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;0.5;0.9461778745350083;pos1
5;-6.123233995736766e-17;-0.7168411220558473;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;0.3117449009293668;0.7059709539585448;pos1
5;0.19545787061700745;-0.6692853732384355;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.11126046697815717;0.2977340515089799;pos1
5;0.2437319780454559;-0.9114426700264268;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.4504844339512095;0.010049107732351015;pos1
5;0.10847093477938956;-1.0864677168669827;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.4504844339512096;0.1312426973712409;pos1
5;-0.1084709347793895;-1.3088338069391456;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;-0.1112604669781573;0.5418645703470011;pos1
5;-0.2437319780454559;-1.2860042981448867;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;0.3117449009293667;0.8549401815764331;pos1
5;-0.19545787061700748;-0.9905122726780828;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
5;0.5;0.9461778745350083;pos1
5;-6.123233995736766e-17;-0.7168411220558473;pos2
5;0.0;0.0;mom1
5;0.0;0.0;mom2
